nameActor,DOB,gender,ethnicity,height,fbCharacterMap,fbCharacterID,fbActorID,careerLength,ageAtFirstMovie,fbID_movies,fbID_nominatedOscar,fbID_wonOscar
Giovanni Ribisi,1974-12-17,M,/m/0222qb,1.7145,/m/0220p0q,/m/02nwhw2,/m/03fbb6,17.0,21.0,"['/m/05fggt', '/m/0pvms', '/m/027bbtg', '/m/0gynbw', '/m/0209xj', '/m/04s1zr', '/m/08yf3q', '/m/09l9cw', '/m/0ch4wk0', '/m/02wwmhc', '/m/0bth54', '/m/07024', '/m/0kvbl6', '/m/0927t4', '/m/0glqh5_', '/m/0g3zrd', '/m/01d259', '/m/057xrx9', '/m/02vprcd', '/m/08bzc3', '/m/09ps01', '/m/02vjp3', '/m/08x6vf', '/m/0gj9tn5', '/m/03fr7b', '/m/06zq7x5', '/m/02cbhg', '/m/04z48q', '/m/0gx997r', '/m/09jkgs', '/m/02jygq']",,
Giri Babu,1946-06-08,M,,,/m/0gcftp8,/m/0h77cvd,/m/04gnc4q,34.0,29.0,"['/m/096nbp', '/m/03nsb2p', '/m/02rf8x8', '/m/09rsx6h', '/m/09rxk5h', '/m/026tfsx', '/m/076x_qj', '/m/0h6ml9p', '/m/0271rq6', '/m/02pqg2l', '/m/0h72gt3', '/m/03h0ywx', '/m/03c075w', '/m/09glh40']",,
Girish Karnad,1938-05-19,M,/m/0d9q7j,,/m/03kxk50,/m/0h75gdm,/m/04ch23,37.0,37.0,"['/m/043j2x', '/m/0gh8zlt', '/m/0dlkwgt', '/m/027vbp1', '/m/09rvntx', '/m/0gmdlgd', '/m/03hnyw3', '/m/0h96jd_', '/m/04q7hf6', '/m/097g5z', '/m/05gp13', '/m/05b39bq', '/m/0g567xv', '/m/0kv3t6', '/m/07ngp4', '/m/02wvv9t', '/m/03ck03d', '/m/0k3lk5c', '/m/02r3zlb', '/m/026t86v', '/m/02x07d1']",,
Giuliano Gemma,1938-09-02,M,,,/m/0mzsgz1,/m/0cj5lt2,/m/0gdhc0,39.0,23.0,"['/m/0hznrpy', '/m/04f4txg', '/m/04f2h09', '/m/04jmlnl', '/m/05zp_xr', '/m/09wy9w', '/m/04y7fy6', '/m/07sb02z', '/m/0hzn5wp', '/m/043nwy8', '/m/0hhq03j', '/m/04f43z4', '/m/0bntqqq', '/m/0cmbrj', '/m/05sxyj2', '/m/0hnc5pg', '/m/0fppdln']",,
Gladys Cooper,1888-12-18,F,,,/m/04l4qbj,/m/02xgwrl,/m/016dql,33.0,,"['/m/0463ncn', '/m/0cq7kw', '/m/07z3q5', '/m/0kbf1', '/m/086_5y', '/m/09tw6r', '/m/04mzf8', '/m/02qsqb2', '/m/0cc93js', '/m/018sf3', '/m/0ktvxj', '/m/02z1x2d', '/m/028bmk5', '/m/01_4fw', '/m/018sds', '/m/03h0zbm', '/m/0bhbbz_', '/m/03h45wq']","['/m/0cq7kw', '/m/0kbf1', '/m/03h0zbm', '/m/03h45wq']",
Gladys George,1904-09-13,F,,,/m/02vcjfs,/m/0n4f932,/m/018q9b,15.0,32.0,"['/m/018qbn', '/m/0g8ptx5', '/m/027_ch5', '/m/0h51jl9', '/m/0b1pxs', '/m/019l5l', '/m/06_byj', '/m/07l3gh', '/m/09pggf7', '/m/03crt28', '/m/0cbn7c', '/m/046cpw']",['/m/018qbn'],
Glenda Farrell,1904-06-30,F,,1.6,/m/05t8bc2,/m/0n66bgf,/m/033q_9,33.0,26.0,"['/m/02pst7z', '/m/02ptwd7', '/m/04y74tx', '/m/025sgy6', '/m/05h49zh', '/m/04wxsp', '/m/07kdryj', '/m/03d4lj7', '/m/0jyqp', '/m/0b0wwy', '/m/09v9j0q', '/m/05tpfw', '/m/0406g_r', '/m/02ql9qh', '/m/07k69n1', '/m/06ljyr', '/m/02vyr5p']",,
Glenda Jackson,1936-05-09,F,/m/0g96wd,1.689,/m/04szs4x,/m/04szs4z,/m/015nhn,19.0,35.0,"['/m/0b9tx_0', '/m/03m8087', '/m/0cz7_4w', '/m/0byblzc', '/m/05b4j78', '/m/0dnn62', '/m/0c82gf', '/m/02wynxd', '/m/07k9l5p', '/m/04y7l6h', '/m/0ptx5']","['/m/0b9tx_0', '/m/0byblzc', '/m/0ptx5']","['/m/0b9tx_0', '/m/0ptx5']"
Glenn Close,1947-03-19,F,/m/07hwkr,1.65,/m/0jy39_,/m/02nwd_c,/m/0c3p7,29.0,35.0,"['/m/0yx7h', '/m/0cy6hp', '/m/05sxr_', '/m/034qbx', '/m/0cr08n', '/m/06xz7w', '/m/078fqr', '/m/0g5879y', '/m/0cfhfz', '/m/02pjg9_', '/m/052c0b', '/m/07k5yj9', '/m/0bhrx3', '/m/05n0ms', '/m/05zmnq3', '/m/0bvvw7', '/m/09lxv9', '/m/05h4s5n', '/m/01jmyj', '/m/027pdsx', '/m/06m815', '/m/03zyv4', '/m/0kvdzd', '/m/0prhz', '/m/0k2cb', '/m/027ckcp', '/m/026w0m_', '/m/02rjtfw', '/m/08660ng', '/m/04x4h9', '/m/07r86f', '/m/01633c', '/m/02dxv2', '/m/02nnnl', '/m/08lkvt', '/m/0279jlm', '/m/018gq3']","['/m/0yx7h', '/m/0g5879y', '/m/0k2cb', '/m/026w0m_', '/m/08660ng', '/m/07r86f', '/m/02nnnl']",
Glenn Fitzgerald,1971-12-21,M,,,/m/0cf_nbh,/m/0gl70hg,/m/0d590r,6.0,24.0,"['/m/03lx3k', '/m/0mdlf', '/m/0g1vcm', '/m/05rm56', '/m/080kkcx', '/m/07j94', '/m/03hl_76', '/m/05syp82', '/m/04t46v', '/m/05ft32', '/m/0kvgxk']",,
Glenn Ford,1916-05-01,M,/m/07bch9,1.803,/m/0k3z1k,/m/05hk22,/m/02_01w,52.0,23.0,"['/m/01_mdl', '/m/0dwqnm', '/m/09894t', '/m/0b46c6', '/m/04yd_w6', '/m/03d1ypf', '/m/0gg5ryl', '/m/04n1fzy', '/m/0gymfz', '/m/027wx27', '/m/02rylzd', '/m/0gncw3', '/m/0gg4jgs', '/m/043ntd_', '/m/04cv2pg', '/m/02x780l', '/m/02z5xyb', '/m/0clhjw', '/m/0ggb585', '/m/0b9z8s', '/m/0gwzkd', '/m/05sxzfm', '/m/01b149', '/m/0fkmrb', '/m/04x0wp', '/m/0gxvqc', '/m/0gg7myq', '/m/09ry78d', '/m/03d38rw', '/m/02x7fm2', '/m/05mygpm', '/m/05zxrlr', '/m/09_2r6', '/m/0fttwt', '/m/05md6s', '/m/05q67rr', '/m/02hrfr', '/m/03h22cp', '/m/047g7sz', '/m/076x22h', '/m/02rpzn', '/m/0bx_2z', '/m/02qxlr7', '/m/0ggb3wm']",,
Glenn Morshower,1959-04-24,M,,1.797,/m/0c5n55h,/m/0h5qmkw,/m/0bpj3h,27.0,25.0,"['/m/0fsrkx', '/m/05zy8v6', '/m/02rpd_6', '/m/02vr39t', '/m/0qm8b', '/m/04nhbz', '/m/0313c3', '/m/0hqqs', '/m/08n76_', '/m/0660b9b', '/m/0c0nhgv', '/m/07w8fz', '/m/07g8wz']",,
Glenn Plummer,1961-08-18,M,/m/0x67,,/m/052dpgv,/m/08d9drm,/m/08xxx9,21.0,26.0,"['/m/04f3j1r', '/m/0d7z7_', '/m/0422r0', '/m/0pb33', '/m/04tzz5', '/m/05jwph', '/m/0276569', '/m/047g8sl', '/m/06plw2', '/m/032l5l', '/m/06d_d3', '/m/08pvck', '/m/08xxhh', '/m/0gw2qn', '/m/08l0x2', '/m/0n83s', '/m/0b69fq9', '/m/024l2y', '/m/0c3p5b']",,
Glenn Shadix,1952-04-15,M,,1.778,/m/0k602y,/m/08s2h8_,/m/05cth9,24.0,35.0,"['/m/0243cq', '/m/0gw_v0k', '/m/027ns3s', '/m/02ny6g', '/m/0g56t9t', '/m/0g_zyp', '/m/04qjp4', '/m/0dq95t', '/m/047wh1', '/m/01qxc7', '/m/07lz26']",,
Glenn Strange,1899-08-16,M,,,/m/0n5m3tm,/m/0n5m4lg,/m/033hpb,24.0,,"['/m/07k4m5w', '/m/09kq5j', '/m/0hv2q', '/m/09gb87y', '/m/02w3qw_', '/m/07fd0v', '/m/04j1l54', '/m/05zl90k', '/m/094ff_', '/m/063ybwm', '/m/02w3qc3', '/m/094dnx', '/m/0b6dm0p', '/m/026wgs3', '/m/094f4n', '/m/0b6mgy2', '/m/0g98t1']",,
Glenne Headly,1955-03-13,F,/m/033tf_,1.71,/m/03jqcvt,/m/0hzk0rl,/m/07bq67,26.0,28.0,"['/m/02816s8', '/m/0dt1p_', '/m/06y61g', '/m/043k3f', '/m/08zjv6', '/m/04_2tf', '/m/02dxrm', '/m/09v2wgp', '/m/03cffvv', '/m/05jn1q', '/m/02qmspm', '/m/029hx6', '/m/035_2h', '/m/0558zc', '/m/0443v1', '/m/0278j53', '/m/016z98', '/m/02rfs1', '/m/05828j', '/m/02qz4w7', '/m/02q487', '/m/04kwwr', '/m/080b45h', '/m/07vwht', '/m/080hs9', '/m/03hmt45', '/m/08g_jw']",,
Gloria DeHaven,1925-07-23,F,,,/m/0cs6pry,/m/0ch9krq,/m/04xnc3,41.0,18.0,"['/m/012cjj', '/m/03nrs_y', '/m/099cmc', '/m/026v_vw', '/m/03d1wy9', '/m/09n9rr1', '/m/09pgkc0', '/m/08vrfn', '/m/0bh9lsx', '/m/058k5p4', '/m/076_17_']",,
Gloria Grahame,1923-11-28,F,,1.67,/m/02vch9z,/m/05sps48,/m/033231,35.0,21.0,"['/m/027rpym', '/m/0gcpc', '/m/06vf_w', '/m/090dyt', '/m/014kkm', '/m/065_gjp', '/m/0599hgp', '/m/0bktb', '/m/0fd28y', '/m/0gffl3g', '/m/09rw79', '/m/019l8m', '/m/05llby', '/m/0bl06', '/m/02rm82d']","['/m/06vf_w', '/m/090dyt', '/m/014kkm', '/m/0bktb', '/m/019l8m', '/m/0bl06']","['/m/06vf_w', '/m/014kkm', '/m/019l8m', '/m/0bl06']"
Gloria Stuart,1910-07-04,F,,1.65,/m/0jvltm2,/m/0jvltm5,/m/02lxj_,68.0,22.0,"['/m/02wywht', '/m/04zxbj6', '/m/05g1cj', '/m/016k80', '/m/0bh9gz6', '/m/0b6ztwc', '/m/0b6ztxw', '/m/0dr_4', '/m/0bq8tc', '/m/03ydl4q', '/m/075pcn', '/m/0gvv9vl', '/m/0bwhgfc', '/m/0b0wwy', '/m/02y_5dv', '/m/027l76k', '/m/0gln_', '/m/05fc3d']",['/m/0dr_4'],
Gloria Swanson,1899-03-27,F,/m/065b6q,1.5,/m/0h5kfkt,/m/0h5kfkx,/m/0173lp,59.0,,"['/m/06w94h1', '/m/06w76wm', '/m/0gmf9ny', '/m/0gxzpj7', '/m/03gts94', '/m/0bwgkkc', '/m/06w7dcj', '/m/07mm3m', '/m/03gtrzt', '/m/06w24rr', '/m/028715v', '/m/0f7sly', '/m/06pgqkz', '/m/0j43k3l', '/m/09sb7rx', '/m/0h63fm9', '/m/06w7wp3', '/m/06w7vrx', '/m/06w6s4g', '/m/02pz1qd', '/m/06w1xbn', '/m/06w7wmd', '/m/03gtsvp', '/m/06w4y67', '/m/0280q1h', '/m/0bwllqg', '/m/06w4vj_', '/m/0173my', '/m/0416gls', '/m/0183vy', '/m/0k4fz', '/m/068wqw', '/m/06w972t', '/m/06wbr1r', '/m/06w1fxg', '/m/03gt7x5', '/m/03gt809', '/m/06wbs4h', '/m/06wbbgk', '/m/06wbb1v', '/m/06w898w', '/m/06w6mw4', '/m/06w9017', '/m/0h65c9h', '/m/0h64p4h', '/m/06w4yym', '/m/02qmf5d', '/m/04zyt91']","['/m/0f7sly', '/m/0183vy', '/m/0k4fz']",
Glynis Johns,1923-10-05,F,,1.626,/m/02vbsjf,/m/05ysxms,/m/012cyp,52.0,24.0,"['/m/0kcn7', '/m/0289pjc', '/m/02g13h', '/m/0k3jn6l', '/m/06zr73d', '/m/06xpq8', '/m/0kv9m1', '/m/01gzmk', '/m/09zftr', '/m/04954r', '/m/039snm', '/m/02pkxpp', '/m/03gz7vn', '/m/02q_h_5', '/m/02f_dk', '/m/08wkf1', '/m/0279zx8', '/m/05v6jy', '/m/0n08d']",['/m/0n08d'],
Glynn Turman,1947-01-31,M,/m/0x67,,/m/0fpf7vc,/m/0fpf7tp,/m/08k6vd,38.0,27.0,"['/m/080pfnc', '/m/05n8jx', '/m/0bx_y8', '/m/04j0lhf', '/m/04j033s', '/m/05ntsf', '/m/07qzvf', '/m/047q67j', '/m/057yc8', '/m/021s41', '/m/0c3w36q', '/m/0h33rzv', '/m/027bjt9', '/m/05p8ct']",,
Goldie Hawn,1945-11-21,F,/m/08hpk0,1.68,/m/0k52l7,/m/0c0m137,/m/0cwtm,34.0,22.0,"['/m/06fhhh', '/m/0b71tl', '/m/0bq8q8', '/m/03hq61', '/m/03y9n_', '/m/0blpg', '/m/0bq8vh', '/m/0bq8v4', '/m/0djg6j', '/m/05k8zz', '/m/04zbg1', '/m/0bq8tc', '/m/01jw6z', '/m/097qd6', '/m/0bq8tr', '/m/0bq8t0', '/m/02q3sdc', '/m/06gh71', '/m/023byx', '/m/0bq8qz', '/m/05p51gf', '/m/06w28q', '/m/06w28q', '/m/06dwhx', '/m/0283_fz', '/m/0qkl7']","['/m/01jw6z', '/m/02q3sdc', '/m/06gh71']",['/m/02q3sdc']
Gong Li,1965-12-31,F,/m/04_hr_,1.7,/m/0k2d_s,/m/0g4pq6x,/m/0139t1,23.0,22.0,"['/m/05z5cp', '/m/04zx5sr', '/m/03mlz9', '/m/0dddyvc', '/m/024j4p', '/m/07p12s', '/m/07vwm0', '/m/0g9prrz', '/m/0kv86m', '/m/0df92l', '/m/0cyxdj', '/m/0drnwh', '/m/01f8f7', '/m/03bxb6', '/m/04xp9b', '/m/0bwkz12', '/m/06rc4g', '/m/06bc59']",,
Googie Withers,1917-03-12,F,,1.65,/m/0bnr0rw,/m/0bnr0rz,/m/043rm7,58.0,21.0,"['/m/011yl_', '/m/05nkfp', '/m/0678ls', '/m/0kv0wm', '/m/02qz_h0', '/m/02g13h', '/m/0h7h4_', '/m/04jfgqz', '/m/0gjdyxd', '/m/0cm8lx0', '/m/0b_z_nv', '/m/04jk8fw', '/m/04jdtkm', '/m/04jbn67', '/m/0bwl1jy']",,
Gopika,1985-02-01,F,/m/04mvp8,1.55,/m/0g9b7tw,/m/0h79_pg,/m/0fzvv6,4.0,19.0,"['/m/0bbv96j', '/m/03gvv58', '/m/065_kp1', '/m/0bwk1xf', '/m/0bbvv14', '/m/0kvc8h', '/m/02q7bb3', '/m/080n24g', '/m/0kvcp1', '/m/02805bs', '/m/0bhbfb4']",,
Goran Višnjić,1972-09-09,M,/m/0j4w_,1.93,/m/0gb02v2,/m/0h5k256,/m/02fc5y,14.0,24.0,"['/m/04f3gv4', '/m/0276v80', '/m/0gj95f0', '/m/0m9tw', '/m/0dgq_kn', '/m/0893dl', '/m/03qbfb', '/m/048yqf', '/m/034scm', '/m/0513py', '/m/0b44shh', '/m/0gych5', '/m/06qs05', '/m/06w839_', '/m/027twpj']",,
Gordon Currie,1965-09-25,M,,,/m/02vbsnc,,/m/0bn_l6,16.0,23.0,"['/m/0h73_g', '/m/07qcwd', '/m/0h7572', '/m/0h73xq', '/m/07llly', '/m/071s6s', '/m/0c_tp3', '/m/09w_x_', '/m/075xrl', '/m/02w57rn']",,
Gordon Jackson,1923-12-19,M,,,/m/05nn07n,/m/0hh405f,/m/04j3q7,46.0,18.0,"['/m/026szh2', '/m/09bh9_', '/m/018rvr', '/m/064qb4m', '/m/0c3xxk4', '/m/06b7mb', '/m/0bbgvp', '/m/0cmbc26', '/m/03jr91', '/m/03hnr3z', '/m/04jbn67', '/m/0brmhp', '/m/0brmhp', '/m/03cqg2h', '/m/0b6gjy4', '/m/0286hvy', '/m/055dfgj']",,
Gordon Mitchell,1923-07-29,M,,1.9,/m/0g9cv4x,/m/0n3m1w2,/m/075m7d,22.0,38.0,"['/m/0ddf4w4', '/m/0fvgv2', '/m/0ddbrwn', '/m/0b1szl', '/m/0cn_n1z', '/m/06zjxw_', '/m/0h5253j', '/m/0d5049', '/m/0cp1dyx', '/m/03mdq7l']",,
Goundamani,1950-03-18,M,,,/m/07y60md,/m/0h8pzyy,/m/05nqnp,30.0,28.0,"['/m/0gp9cf', '/m/0gjd810', '/m/0bwht53', '/m/04q7k8p', '/m/02pny03', '/m/0dgsq1', '/m/03wbq1t', '/m/09v0w20', '/m/0h942rr', '/m/03mfqs4', '/m/0j459v0', '/m/064nd10', '/m/0j_35ln', '/m/0gp9fv', '/m/0j7kt2j', '/m/0hrfz10', '/m/0hn9drx', '/m/0hr1zvf', '/m/03wbp_m', '/m/0j7jv63', '/m/047mfj2', '/m/0j67ls3', '/m/03wbq9s', '/m/0jt97_8', '/m/03wbqdj', '/m/0k0rkv4', '/m/0kvcg7', '/m/0jt5vgc', '/m/0j7l22x', '/m/0j9nx5s', '/m/0hr6_jn', '/m/0h6l8_3', '/m/0j42j5v', '/m/05ztndw', '/m/02r1cf9', '/m/080dymc', '/m/0521523', '/m/02qkzwc', '/m/0hgnxvx', '/m/0j_4qnq', '/m/09g88kx', '/m/0j7jt83', '/m/0hglw5_', '/m/0hgpwr3', '/m/03ck8k8', '/m/064q36x', '/m/0hr9h79', '/m/071xlx', '/m/0jt69y9']",,
Gouthami Tadimalla,1968-07-02,F,,,/m/0c05_n8,/m/0h738d0,/m/04cdkf,21.0,19.0,"['/m/05zj4mp', '/m/0b6gzk0', '/m/0dlkwgt', '/m/086yz_', '/m/0gxk8_', '/m/02qkzsm', '/m/0j29kk6', '/m/06zrx4x', '/m/0hgq9dt', '/m/02r1cp6', '/m/0gx14t8', '/m/0k3lqqt', '/m/0g53qzb', '/m/047txvl', '/m/03nwf4_', '/m/0jt0m9k', '/m/0fq2_3h', '/m/0j29_04', '/m/0hr0vyj', '/m/0h_cnps', '/m/0j_3k6_', '/m/0ds82sf', '/m/071xlx']",,
Govind Namdeo,,M,,,/m/0gw0h44,/m/0h73h3t,/m/04n6t55,20.0,,"['/m/0g575qg', '/m/05p7n5_', '/m/06w9w05', '/m/02ppp7s', '/m/04mx26p', '/m/0661b__', '/m/0bs36v8', '/m/03c49l8', '/m/02w92pc', '/m/093h2g', '/m/0dllh9t', '/m/047bmvx', '/m/0cfvg0', '/m/07k552j', '/m/0fp_h06', '/m/04gr3xz', '/m/02q5zm0', '/m/03c7jjd', '/m/0b6k5tm', '/m/0k3lfvz', '/m/0522n9y', '/m/0br_rqk', '/m/04y5fqf', '/m/0ktz8_', '/m/05mxxr0', '/m/02jsh9', '/m/0g9tggg', '/m/0277h85', '/m/0h51pqn']",,
Govinda,1963-12-21,M,/m/0dryh9k,1.73,/m/06wksjm,/m/07zpd64,/m/05_zc7,26.0,22.0,"['/m/06w7l0s', '/m/0gh6lcs', '/m/0f42nz', '/m/0j9m7dv', '/m/02q31yn', '/m/0h2d0rh', '/m/05_nmh', '/m/0h7ppvj', '/m/03c9_zl', '/m/0f8hjf', '/m/02qvm4f', '/m/03c9_rq', '/m/0j9qjvx', '/m/09lgg5', '/m/0kvbwk', '/m/027v94t', '/m/02z8gkc', '/m/03m9t55', '/m/0cnxb8_', '/m/04p819', '/m/03cb07j', '/m/02w92pc', '/m/02pv1l2', '/m/0f8h9h', '/m/0gfdm86', '/m/0gg4l8y', '/m/0hhpntl', '/m/0j9knmq', '/m/0gh8z1w', '/m/0cm8j51', '/m/0cp0dk_', '/m/0b5m9n1', '/m/04y5pk6', '/m/02vncmz', '/m/0c99qs', '/m/0fpgkdc', '/m/03c9zsd', '/m/03c9ynn', '/m/02q3278', '/m/0gmg7dq', '/m/02q5zm0', '/m/02ptjzb', '/m/03m7ysv', '/m/0gh6y8p', '/m/05zz8kj', '/m/04cs5gb', '/m/0b773vw', '/m/03h258t', '/m/0gbmz0', '/m/027t18x', '/m/04q7l_p', '/m/03c9_f1', '/m/03m7gh5', '/m/0g9zpnt', '/m/0dc_q9', '/m/0j9kbd2', '/m/03c9_v3', '/m/03c9yw5', '/m/03byk9c', '/m/03c9yy7', '/m/03m7glm', '/m/0d7g9j', '/m/02771cl', '/m/0g58g82', '/m/03c9_h3', '/m/02z9dht', '/m/0j9m7f6', '/m/0bh8k34', '/m/0gh8rl6', '/m/03m49jj', '/m/0h_9c28', '/m/03c9zz8', '/m/03c2yb1', '/m/03c9_10', '/m/08dd9p', '/m/0gh7z_4', '/m/03c9zjh', '/m/02qv1_v', '/m/03c9z5h', '/m/02r30td', '/m/03c34tf', '/m/0ddm5_', '/m/0j9mnt6']",,
Grace Kelly,1929-11-12,F,,1.7,/m/040tzy9,/m/0h2jq5j,/m/0bq1z,33.0,21.0,"['/m/03bwqz', '/m/03bwqm', '/m/01jntj', '/m/0h3k3f', '/m/02qr3k8', '/m/019nwz', '/m/0jwvf', '/m/0k7tq', '/m/0jswp', '/m/0p5kp']","['/m/03bwqz', '/m/0h3k3f', '/m/019nwz', '/m/0jwvf', '/m/0k7tq']","['/m/03bwqz', '/m/0h3k3f', '/m/0jwvf', '/m/0k7tq']"
Grace Stafford,1903-11-07,F,,,/m/0gx6r48,/m/01cjzl,/m/06kr78,8.0,49.0,"['/m/051_3qx', '/m/047d13v', '/m/0523fxp', '/m/05247y7', '/m/0521yjv', '/m/051x4qd', '/m/051_xrh', '/m/0521dpv', '/m/051vpqt', '/m/051zg1z', '/m/051wwrq', '/m/056dc53', '/m/051zq21', '/m/0524q29', '/m/051wlr_', '/m/052307v', '/m/0521gfj', '/m/0521710', '/m/05211y1', '/m/0523r1x', '/m/05248_z', '/m/051wzgp', '/m/047f3hv', '/m/051_k0t', '/m/0521rcj', '/m/051wvf2', '/m/052263v', '/m/051_d1n', '/m/051_rfb', '/m/02w18z6', '/m/0523hc2', '/m/051xf5m', '/m/051ycdf', '/m/051xp6l', '/m/0465wns', '/m/04639ms', '/m/0520lbz', '/m/051zb6j', '/m/051zt47', '/m/0522w8p', '/m/051yl85', '/m/0520mzw', '/m/047fx2m', '/m/0520978', '/m/05224f5', '/m/051_z9p', '/m/047chp7', '/m/02w2pfl', '/m/02w2qs7', '/m/047f67h', '/m/051yl5d', '/m/051wtq1', '/m/0479hl1']",,
Grace Zabriskie,1941-05-17,F,,1.59,/m/03jryb_,/m/0h5v2r7,/m/09c84c,27.0,39.0,"['/m/06g77c', '/m/06kt1h', '/m/04n6d7r', '/m/04_2tf', '/m/06mpjq', '/m/02ml29', '/m/02vrpz', '/m/07k786r', '/m/02wz47m', '/m/04ltx7', '/m/0817q4', '/m/01qncf', '/m/045j3w', '/m/02qh3bt', '/m/04p4qyx', '/m/0273rwy', '/m/07yt8m', '/m/02rzf97']",,
Graham Beckel,1949-12-22,M,,,/m/0h5r5fy,/m/0hdfg1x,/m/026_bsy,38.0,23.0,"['/m/011yqc', '/m/08gnl0', '/m/02802nt', '/m/0273g0c', '/m/07k5vbm', '/m/0bc_p3', '/m/05hjnw', '/m/09xykf', '/m/05cgvt', '/m/02pxt14', '/m/085n6q', '/m/02pq3rp', '/m/027v97k', '/m/0372hv', '/m/0b6xcxb', '/m/034m7p']",,
Graham Chapman,1941-01-08,M,,1.88,/m/0k0t2r,/m/04904,/m/03dq9,18.0,28.0,"['/m/04zl8', '/m/04zl8', '/m/06sb_8', '/m/01d4dr', '/m/04k2p', '/m/04k2p', '/m/03wh1s', '/m/02sxmw', '/m/04l54m', '/m/068mlb', '/m/020_sh']",,
Graham Greene,1952-06-22,M,/m/01trsl,1.79,/m/0cg331v,/m/05ccmhc,/m/0z05l,27.0,31.0,"['/m/07klvh', '/m/0y_9q', '/m/09bpxj', '/m/03rtz1', '/m/02x3323', '/m/09gn1lh', '/m/06lqd5', '/m/093l8p', '/m/021jdm', '/m/02rtv28', '/m/08fr89', '/m/04cv9qn', '/m/05pdh86', '/m/03mcynb', '/m/0fjjln', '/m/0bwl2s_', '/m/03s9kp', '/m/01_1hw', '/m/076y0hl', '/m/05ft9h']",['/m/0y_9q'],
Graham McTavish,1961,M,,,/m/0gvmcd_,/m/0gvmcf2,/m/027nbx1,23.0,28.0,"['/m/0ddg_bs', '/m/065z3_x', '/m/0bngmj', '/m/09v58kc', '/m/057xrx9', '/m/0ddgm43', '/m/04g0gvz', '/m/026ph7x', '/m/0bwhk07', '/m/04f5s5j', '/m/03clwtw', '/m/09g7hl2', '/m/05p5hp5']",,
Grant Heslov,1965-05-15,M,,1.753,/m/0cg00z0,/m/045rkyq,/m/0bsb4j,16.0,24.0,"['/m/0450f9', '/m/01jrbv', '/m/03tn80', '/m/0cwrv5', '/m/03t95n', '/m/024y_s', '/m/040mt6', '/m/0hwpz', '/m/0b9rctg', '/m/07w8fz']",,
Grant Mitchell,1874-06-17,M,,,/m/0gcp1pl,/m/0k6t2k9,/m/03c35wj,24.0,,"['/m/0jymd', '/m/096mjj', '/m/04j1q14', '/m/0h1v19', '/m/03d8jkx', '/m/083cst', '/m/0415dzx', '/m/09ry407', '/m/09pgg_1', '/m/07sb4q2', '/m/0bwjg1m', '/m/09rmllr', '/m/0dt03w', '/m/04n4gkr', '/m/0b0wwy', '/m/027yg3p', '/m/043nx1d', '/m/058k5p4', '/m/05b65b8']",,
Grant Withers,1905-01-17,M,,1.91,/m/0cslz35,/m/0n3mm13,/m/0fj_nl,28.0,22.0,"['/m/0cg9l5h', '/m/0cnxcwk', '/m/0280kjb', '/m/0289pry', '/m/0gdktp', '/m/0gytf1s', '/m/02q0w45', '/m/07kh0p8', '/m/07s5zy8', '/m/043r5gm', '/m/03csqhg', '/m/0806c1m', '/m/03y912n', '/m/05h7005', '/m/02rzwhy', '/m/02q0dq8', '/m/07k4rch', '/m/02wyssv', '/m/07kdr4x', '/m/043p8fz', '/m/07k50f4', '/m/07k5x2x', '/m/0g987p', '/m/04n4knr', '/m/043p_jx', '/m/080dtv_', '/m/02qsrk8', '/m/09rlnwl']",,
Greer Garson,1904-09-29,F,/m/07bch9,1.67,/m/0k3y7m,/m/02nw8rg,/m/0h1s0,39.0,34.0,"['/m/01bjcq', '/m/025scjj', '/m/0dswq0', '/m/03hlqm5', '/m/0kb9y', '/m/03cx6lb', '/m/01_4fw', '/m/018sds', '/m/07z3h3', '/m/03h1vk4', '/m/02rmlkd', '/m/048kb8', '/m/0cq8nx', '/m/0kb5_', '/m/05b0yy0']","['/m/01bjcq', '/m/0dswq0', '/m/0kb9y', '/m/018sds', '/m/03h1vk4', '/m/02rmlkd', '/m/048kb8', '/m/0cq8nx', '/m/0kb5_']","['/m/0cq8nx', '/m/0kb5_']"
Greg Germann,1958-02-26,M,,1.778,/m/0g_jd4m,/m/0g_jkzp,/m/03mbrr,20.0,32.0,"['/m/02r4y1', '/m/02x3f_y', '/m/08952r', '/m/03mm31', '/m/0cjbx2', '/m/02ml29', '/m/04gthxn', '/m/043rjsy', '/m/0gy1rrb', '/m/06fcqw', '/m/0fkjkr', '/m/0dglhc', '/m/0406c9s', '/m/0byg59', '/m/0bvvx9']",,
Greg Grunberg,1966-07-11,M,/m/041rx,1.88,/m/0h6f4zm,/m/0h38q0t,/m/02y5bt,14.0,29.0,"['/m/0dnvn3', '/m/08phg9', '/m/037s0_', '/m/04j2yqy', '/m/06wm_z', '/m/04lh17n', '/m/04th45', '/m/0gy1rrb', '/m/0gy1rrb', '/m/013q07', '/m/06fqlk', '/m/06f18v']",,
